nama,total_aset,penghasilan_bulanan,pengeluaran_bulanan,total_hutang,bunga_hutang,Estimasi Lunas dalam Bulan,Estimasi Lunas dalam Tahun,Total Hutang Setelah menjual asset,Estimasi Lunas dalam Bulan setelah menjual setengah asset,Estimasi Lunas dalam Tahun setelah menjual setengah asset
Jacob Rodriguez,"Rp33,841,962","Rp37,508,912","Rp36,761,500","Rp276,892,109",12.29,77.27,6.4,259971128,38.1,3.2
Richard Martinez,"Rp345,270,428","Rp26,458,350","Rp26,458,350","Rp127,869,731",14.79,81.14,6.8,0,0.0,0.0
Ricardo Davis,"Rp455,809,699","Rp20,631,232","Rp20,631,232","Rp73,997,670",11.56,103.81,8.7,0,0.0,0.0
Jesse Chan,"Rp301,428,876","Rp8,347,417","Rp8,347,417","Rp251,514,056",6.5,184.62,15.4,100799618,92.3,7.7
Morgan Lewis,"Rp340,626,207","Rp12,253,517","Rp12,253,517","Rp170,130,082",9.27,129.45,10.8,0,0.0,0.0
Tommy Thomas,"Rp434,623,942","Rp34,699,263","Rp33,073,264","Rp258,806,331",10.25,67.46,5.6,41494360,10.5,0.9
Madison Bates,"Rp180,731,194","Rp42,364,133","Rp30,113,586","Rp176,733,836",2.1,14.07,1.2,86368239,3.5,0.3
Mary Harris,"Rp309,724,018","Rp16,371,172","Rp5,040,267","Rp107,423,758",8.62,8.88,0.7,0,0.0,0.0
Julie Yu,"Rp165,569,237","Rp29,216,317","Rp29,216,317","Rp49,181,713",10.93,109.79,9.1,0,0.0,0.0
Joshua Cuevas,"Rp33,484,187","Rp46,548,158","Rp31,008,147","Rp115,675,058",3.34,7.29,0.6,98932965,3.1,0.3
Victoria Butler,"Rp244,924,609","Rp37,970,444","Rp11,685,684","Rp143,276,576",11.93,5.17,0.4,20814272,0.4,0.0
Cindy Bright,"Rp259,625,132","Rp8,752,810","Rp8,752,810","Rp201,418,810",9.17,130.86,10.9,71606244,65.4,5.5
Heidi Estrada,"Rp205,995,197","Rp3,571,650","Rp3,571,650","Rp5,809,178",14.33,83.74,7.0,0,0.0,0.0
Gwendolyn Guzman,"Rp46,093,880","Rp24,253,792","Rp20,673,436","Rp264,590,550",1.59,67.31,5.6,241543610,31.0,2.6
Amanda Phillips,"Rp463,094,388","Rp45,328,965","Rp38,693,176","Rp194,326,778",4.71,26.27,2.2,0,0.0,0.0
Matthew Gonzalez,"Rp360,188,315","Rp39,418,225","Rp10,535,078","Rp68,391,073",9.42,2.32,0.2,0,0.0,0.0
Rhonda Morris,"Rp240,519,835","Rp7,909,047","Rp7,909,047","Rp314,476,215",5.15,233.01,19.4,194216298,116.5,9.7
Zachary Cook,"Rp411,323,627","Rp43,435,721","Rp20,144,439","Rp24,339,821",11,1.04,0.1,0,0.0,0.0
Bradley Carey,"Rp274,441,387","Rp10,422,212","Rp10,422,212","Rp371,610,981",11.63,103.18,8.6,234390288,51.6,4.3
Shane Greene,"Rp188,283,859","Rp6,757,974","Rp6,757,974","Rp33,398,068",2.44,491.80,41.0,0,0.0,0.0
Nancy Bowen,"Rp85,415,325","Rp11,791,689","Rp6,273,445","Rp205,352,583",8.19,29.68,2.5,162644921,12.3,1.0
Michael Weber,"Rp45,563,453","Rp26,988,395","Rp5,184,790","Rp21,530,109",8.12,0.98,0.1,0,0.0,0.0
Jessica Dean,"Rp178,973,642","Rp45,321,932","Rp35,134,205","Rp28,195,170",6.17,2.73,0.2,0,0.0,0.0
Scott Chavez,"Rp329,309,439","Rp44,846,355","Rp14,529,971","Rp167,182,802",14.06,5.18,0.4,2528083,0.0,0.0
Amber Sullivan,"Rp256,703,609","Rp22,931,456","Rp8,681,935","Rp229,860,158",12.59,13.80,1.1,101508354,3.3,0.3
Gloria Rollins,"Rp100,586,459","Rp44,350,756","Rp11,963,441","Rp209,218,963",10.76,6.11,0.5,158925734,2.4,0.2
Justin Price,"Rp466,545,752","Rp14,643,208","Rp8,689,142","Rp82,309,808",11,12.27,1.0,0,0.0,0.0
Austin Calhoun MD,"Rp302,072,678","Rp46,928,336","Rp28,336,263","Rp185,494,616",7.46,9.39,0.8,34458277,0.9,0.1
Marilyn Smith,"Rp146,702,141","Rp34,443,720","Rp6,990,961","Rp204,475,623",13.89,6.86,0.6,131124553,2.3,0.2
Julie Hanson,"Rp482,669,408","Rp11,112,074","Rp5,646,804","Rp121,715,789",10.72,18.58,1.5,0,0.0,0.0
Mr. Anthony Hays Jr.,"Rp105,057,280","Rp21,967,438","Rp2,647,296","Rp190,012,377",11.21,9.01,0.8,137483737,3.3,0.3
Ashley Gamble,"Rp452,103,160","Rp15,138,391","Rp5,122,951","Rp396,887,461",13.06,27.69,2.3,170835881,7.2,0.6
Tyler Brady,"Rp107,453,338","Rp27,012,790","Rp27,012,790","Rp134,009,366",4.84,247.93,20.7,80282697,124.0,10.3
Darrell Kim,"Rp233,801,277","Rp24,982,813","Rp2,800,101","Rp15,539,669",12.3,0.70,0.1,0,0.0,0.0
Michael Fitzgerald,"Rp12,235,000","Rp35,874,288","Rp35,874,288","Rp360,143,672",3.73,321.72,26.8,354026172,160.9,13.4
Kayla Santiago,"Rp302,121,203","Rp32,967,940","Rp24,655,061","Rp186,325,906",5.83,20.21,1.7,35265305,2.1,0.2
Richard Leonard,"Rp450,529,868","Rp13,713,405","Rp13,713,405","Rp158,631,666",5.7,210.53,17.5,0,0.0,0.0
Meagan Gallegos,"Rp485,584,232","Rp12,742,257","Rp12,742,257","Rp331,585,218",14.7,81.63,6.8,88793102,40.8,3.4
Brooke Williams,"Rp245,283,714","Rp31,151,242","Rp25,116,992","Rp22,016,233",12.99,3.51,0.3,0,0.0,0.0
Sheila Jones,"Rp39,859,174","Rp6,609,736","Rp6,609,736","Rp324,182,098",10.82,110.91,9.2,304252511,55.5,4.6
Adam Conrad,"Rp180,320,581","Rp11,060,833","Rp11,060,833","Rp240,822,792",11.18,107.33,8.9,150662502,53.7,4.5
Taylor Perez,"Rp56,159,303","Rp43,192,587","Rp32,555,353","Rp389,231,707",8.87,28.80,2.4,361152056,13.6,1.1
Julie Williams,"Rp156,412,954","Rp21,161,634","Rp10,121,757","Rp82,337,555",14.26,6.85,0.6,4131078,0.2,0.0
Richard Keith,"Rp192,153,864","Rp20,163,810","Rp20,163,810","Rp382,142,598",7.95,150.94,12.6,286065666,75.5,6.3
Emily Ford,"Rp481,716,157","Rp22,646,976","Rp22,646,976","Rp259,196,808",6.33,189.57,15.8,18338730,94.8,7.9
Julie Mccann,"Rp427,074,852","Rp31,972,327","Rp13,820,569","Rp240,154,170",3.28,12.77,1.1,26616744,0.7,0.1
Tammy Farmer,"Rp299,635,552","Rp15,225,855","Rp15,225,855","Rp18,907,579",12.01,99.92,8.3,0,0.0,0.0
Jamie Peters,"Rp93,375,337","Rp8,238,331","Rp8,238,331","Rp345,997,494",11.28,106.38,8.9,299309826,53.2,4.4
Brian Williams,"Rp386,304,299","Rp4,135,964","Rp4,135,964","Rp145,341,880",6.38,188.09,15.7,0,0.0,0.0
Lauren Wood,"Rp301,669,966","Rp5,155,748","Rp5,155,748","Rp140,382,523",1.35,888.89,74.1,0,0.0,0.0
Robert Moore,"Rp195,933,626","Rp14,433,787","Rp14,433,787","Rp48,332,370",12.75,94.12,7.8,0,0.0,0.0
Jeffrey Hendricks,"Rp324,404,213","Rp34,808,285","Rp34,808,285","Rp326,444,851",1.16,1034.48,86.2,164242745,517.2,43.1
Daniel Gomez,"Rp412,714,271","Rp37,427,604","Rp10,704,813","Rp342,953,701",10.85,11.50,1.0,136596566,2.4,0.2
Jamie Moody,"Rp90,705,119","Rp11,910,852","Rp11,910,852","Rp179,798,652",14.58,82.30,6.9,134446093,41.2,3.4
Cody Robertson,"Rp259,546,199","Rp8,655,378","Rp8,655,378","Rp298,522,083",7.13,168.30,14.0,168748984,84.2,7.0
Brenda Hunter,"Rp345,088,872","Rp41,428,026","Rp16,497,054","Rp62,190,864",4.29,2.47,0.2,0,0.0,0.0
Angela Zavala,"Rp133,850,419","Rp40,617,741","Rp13,319,247","Rp203,099,208",10.87,6.97,0.6,136173999,2.4,0.2
Nicholas Martin,"Rp498,035,440","Rp34,956,377","Rp15,913,140","Rp58,274,943",12.44,2.97,0.2,0,0.0,0.0
Margaret Chavez,"Rp288,710,077","Rp9,941,245","Rp9,941,245","Rp293,496,288",8.65,138.73,11.6,149141250,69.4,5.8
Amanda Schmidt,"Rp425,675,888","Rp18,876,696","Rp8,851,803","Rp150,292,083",14.54,12.69,1.1,0,0.0,0.0
Charles Hendrix,"Rp26,816,569","Rp12,451,244","Rp12,451,244","Rp225,182,616",1.72,697.67,58.1,211774332,348.8,29.1
Robert Fuentes,"Rp385,583,283","Rp46,729,961","Rp7,742,533","Rp325,124,557",8.07,7.90,0.7,132332916,1.7,0.1
Jason Bradley,"Rp17,654,909","Rp10,817,304","Rp10,817,304","Rp323,862,132",11.06,108.50,9.0,315034678,54.2,4.5
April Sanchez,"Rp316,249,510","Rp20,606,951","Rp20,606,951","Rp207,884,834",13.08,91.74,7.6,49760079,45.9,3.8
Chris Cooper,"Rp384,824,322","Rp10,021,862","Rp10,021,862","Rp219,400,954",3.51,341.88,28.5,26988793,170.9,14.2
Margaret Oneill,"Rp228,520,688","Rp48,773,415","Rp4,825,896","Rp211,771,907",12.2,4.59,0.4,97511563,1.1,0.1
William Hudson,"Rp109,157,604","Rp11,351,245","Rp11,351,245","Rp281,987,898",8.74,137.30,11.4,227409096,68.6,5.7
Patrick Rowland,"Rp159,638,768","Rp41,837,023","Rp12,427,148","Rp124,808,067",6.55,4.15,0.3,44988683,0.8,0.1
Valerie Brown,"Rp168,428,240","Rp44,037,490","Rp6,876,872","Rp14,618,395",2.84,0.39,0.0,0,0.0,0.0
Colin Lewis,"Rp82,073,914","Rp22,339,685","Rp21,397,196","Rp14,714,177",13.11,13.34,1.1,0,0.0,0.0
Matthew Tucker,"Rp480,575,216","Rp39,640,608","Rp33,935,646","Rp188,844,712",3.2,30.42,2.5,0,0.0,0.0
Heather Stewart,"Rp446,432,897","Rp8,345,854","Rp8,345,854","Rp350,349,756",5.34,224.72,18.7,127133308,112.4,9.4
Julie Harris,"Rp21,506,305","Rp14,683,982","Rp14,683,982","Rp393,290,133",5.06,237.15,19.8,382536981,118.6,9.9
Christine Reeves,"Rp164,777,819","Rp41,438,112","Rp41,438,112","Rp79,313,640",13.2,90.91,7.6,0,0.0,0.0
Robert Bates,"Rp231,099,573","Rp6,681,262","Rp6,681,262","Rp264,116,158",10.42,115.16,9.6,148566372,57.6,4.8
David Gross,"Rp151,951,830","Rp41,187,510","Rp4,887,698","Rp10,051,646",12.15,0.28,0.0,0,0.0,0.0
Stephen Simon,"Rp133,035,620","Rp5,609,089","Rp5,609,089","Rp344,169,974",4.51,266.08,22.2,277652164,133.0,11.1
Michelle Harris,"Rp418,327,903","Rp20,691,444","Rp6,031,464","Rp139,503,439",9.75,8.83,0.7,0,0.0,0.0
Tyler Anderson,"Rp152,875,872","Rp3,953,959","Rp3,953,959","Rp383,610,749",9,133.33,11.1,307172813,66.7,5.6
Christina Mcgee,"Rp50,163,712","Rp47,132,455","Rp42,912,236","Rp196,462,256",12.66,31.22,2.6,171380400,14.2,1.2
Eric Andersen,"Rp249,253,117","Rp35,311,218","Rp24,910,282","Rp156,570,863",13.69,12.85,1.1,31944305,1.5,0.1
Michael Munoz,"Rp95,447,809","Rp44,459,909","Rp4,887,296","Rp153,907,677",1.17,3.87,0.3,106183773,1.3,0.1
Carol Hill,"Rp142,863,028","Rp13,016,389","Rp13,016,389","Rp237,712,459",10.44,114.94,9.6,166280945,57.5,4.8
Miss Heather Lopez,"Rp322,601,305","Rp23,146,754","Rp23,146,754","Rp360,652,642",1.73,693.64,57.8,199351990,346.8,28.9
Allison Whitney,"Rp485,240,095","Rp14,630,982","Rp3,100,500","Rp81,350,218",8.68,6.71,0.6,0,0.0,0.0
Jordan Knight,"Rp237,174,085","Rp32,122,503","Rp24,371,392","Rp173,194,541",5.03,20.43,1.7,54607499,3.4,0.3
Shelia Hernandez,"Rp408,129,398","Rp29,704,425","Rp29,704,425","Rp320,033,044",5.29,226.84,18.9,115968345,113.4,9.5
Sara Hahn,"Rp212,445,635","Rp48,014,515","Rp3,961,977","Rp97,108,542",5.94,2.18,0.2,0,0.0,0.0
Stephanie Robertson,"Rp357,262,390","Rp18,586,926","Rp18,586,926","Rp150,277,588",9.7,123.71,10.3,0,0.0,0.0
Nathan Owens,"Rp59,905,866","Rp48,946,524","Rp6,032,654","Rp278,335,620",5.68,6.29,0.5,248382687,2.8,0.2
Heather Parker DDS,"Rp493,774,586","Rp12,496,563","Rp12,496,563","Rp14,909,551",11.26,106.57,8.9,0,0.0,0.0
Gina Lawrence,"Rp453,310,846","Rp33,433,757","Rp25,277,458","Rp354,496,595",6.66,35.02,2.9,127841172,7.2,0.6
Dennis Foster,"Rp238,233,509","Rp17,034,150","Rp8,978,140","Rp113,403,912",1.96,13.76,1.1,0,0.0,0.0
Raymond Hoffman,"Rp419,313,092","Rp48,745,050","Rp13,748,768","Rp153,721,084",11.97,4.21,0.4,0,0.0,0.0
Lance Alexander,"Rp41,378,291","Rp34,556,003","Rp15,611,312","Rp145,212,104",5,7.43,0.6,124522959,3.2,0.3
Alejandra Potter,"Rp475,673,825","Rp13,321,336","Rp13,321,336","Rp194,838,659",7.06,169.97,14.2,0,0.0,0.0
Douglas Sanchez,"Rp46,634,821","Rp19,559,100","Rp19,559,100","Rp345,534,224",10.6,113.21,9.4,322216814,56.6,4.7
Shane Thomas,"Rp112,325,205","Rp44,108,406","Rp40,382,858","Rp282,828,065",5.65,55.93,4.7,226665463,23.6,2.0
Natalie Jackson,"Rp163,651,082","Rp13,750,240","Rp13,750,240","Rp22,089,239",1.79,670.39,55.9,0,0.0,0.0
Dawn George,"Rp295,322,750","Rp12,803,005","Rp10,379,341","Rp352,138,527",6.23,82.82,6.9,204477152,29.3,2.4
Jackson Townsend,"Rp397,791,599","Rp9,097,091","Rp9,097,091","Rp313,259,904",14.22,84.39,7.0,114364105,42.2,3.5
Eric Mann,"Rp217,640,719","Rp34,738,453","Rp3,912,584","Rp112,983,879",9.98,3.56,0.3,4163520,0.1,0.0
Selena Ray,"Rp376,371,424","Rp49,982,977","Rp22,554,754","Rp79,931,500",10.4,2.84,0.2,0,0.0,0.0
Stacey Walton,"Rp120,456,008","Rp44,259,524","Rp19,002,265","Rp303,287,446",9.85,10.93,0.9,243059442,4.5,0.4
Carlos Green,"Rp313,998,075","Rp10,583,354","Rp10,583,354","Rp243,058,926",3.79,316.62,26.4,86059889,158.3,13.2
Samantha Coleman,"Rp45,213,498","Rp22,908,425","Rp16,677,441","Rp358,076,647",6.86,43.26,3.6,335469898,20.6,1.7
Christopher Jones,"Rp274,219,973","Rp42,367,797","Rp36,301,851","Rp292,533,387",11.51,32.97,2.7,155423401,10.3,0.9
James Campbell,"Rp314,138,703","Rp40,612,325","Rp7,438,684","Rp158,229,749",2.42,4.72,0.4,1160398,0.0,0.0
Ashley Lambert,"Rp185,127,900","Rp25,468,492","Rp24,315,019","Rp260,962,699",4.89,117.72,9.8,168398749,45.8,3.8
Antonio Smith,"Rp475,397,506","Rp8,397,662","Rp8,397,662","Rp389,112,813",4.87,246.41,20.5,151414060,123.2,10.3
Angela Cole,"Rp400,382,227","Rp19,413,486","Rp19,413,486","Rp107,562,350",7.05,170.21,14.2,0,0.0,0.0
Katie Kelly,"Rp336,241,019","Rp14,606,243","Rp10,793,380","Rp58,789,198",14.73,12.96,1.1,0,0.0,0.0
Lee Smith,"Rp235,762,234","Rp19,643,948","Rp12,104,107","Rp395,050,450",1.95,48.28,4.0,277169333,17.3,1.4
Stacey Greene,"Rp419,057,187","Rp13,688,727","Rp13,688,727","Rp80,261,977",8.26,145.28,12.1,0,0.0,0.0
Chelsea Pham,"Rp81,244,178","Rp46,842,483","Rp18,064,554","Rp176,045,683",3.51,6.01,0.5,135423594,2.3,0.2
Debra Hall,"Rp380,009,433","Rp31,614,327","Rp12,905,942","Rp298,689,948",14.59,13.37,1.1,108685232,2.7,0.2
Beth Smith,"Rp61,939,266","Rp12,828,366","Rp4,086,213","Rp200,772,821",2.59,21.88,1.8,169803188,9.3,0.8
Abigail Watson,"Rp265,555,070","Rp4,805,468","Rp4,805,468","Rp318,997,844",6.65,180.45,15.0,186220309,90.2,7.5
Sabrina Moore,"Rp445,921,042","Rp39,982,407","Rp26,091,050","Rp32,090,738",11.33,2.26,0.2,0,0.0,0.0
Mr. Joseph Bishop,"Rp433,767,187","Rp42,910,660","Rp13,199,468","Rp306,704,741",10.86,9.44,0.8,89821148,1.5,0.1
Sharon Snyder,"Rp96,641,503","Rp11,514,716","Rp11,514,716","Rp398,836,307",6.92,173.41,14.5,350515556,86.7,7.2
Tonya Norris,"Rp423,075,142","Rp48,103,150","Rp37,553,686","Rp171,654,456",5.85,15.08,1.3,0,0.0,0.0
Todd Williams,"Rp222,027,187","Rp14,618,627","Rp14,618,627","Rp338,434,524",6.57,182.65,15.2,227420931,91.3,7.6
Maurice Bradley,"Rp291,420,264","Rp18,043,403","Rp18,043,403","Rp67,730,418",4.7,255.32,21.3,0,0.0,0.0
Nicole Moyer,"Rp293,200,416","Rp29,873,516","Rp28,153,295","Rp225,874,550",3.87,92.24,7.7,79274342,20.1,1.7
Robert Mills,"Rp106,946,087","Rp8,525,633","Rp8,525,633","Rp58,102,022",7.76,154.64,12.9,4628979,77.3,6.4
Michael Vasquez,"Rp60,402,943","Rp5,244,702","Rp5,244,702","Rp33,748,123",4.76,252.10,21.0,3546652,126.1,10.5
Tammy Chandler,"Rp86,241,446","Rp23,154,994","Rp23,154,994","Rp45,850,837",5.02,239.04,19.9,2730114,119.5,10.0
William Bradley,"Rp275,128,273","Rp30,695,858","Rp8,592,910","Rp162,841,483",10.19,6.93,0.6,25277347,0.6,0.0
Cameron Rose,"Rp386,712,039","Rp15,920,739","Rp15,920,739","Rp121,927,317",14.56,82.42,6.9,0,0.0,0.0
Brittany Diaz,"Rp63,777,024","Rp10,726,890","Rp10,726,890","Rp59,441,451",9.45,126.98,10.6,27552939,63.5,5.3
Jason Shaffer,"Rp227,712,394","Rp25,674,714","Rp23,794,866","Rp329,403,393",2.08,134.41,11.2,215547196,47.8,4.0
Nicole Delgado,"Rp401,127,003","Rp11,357,956","Rp11,357,956","Rp97,637,143",2.06,582.52,48.5,0,0.0,0.0
Gabrielle Garrett,"Rp483,374,648","Rp44,758,730","Rp35,812,949","Rp31,912,512",14.32,3.42,0.3,0,0.0,0.0
Troy Reyes,"Rp497,365,080","Rp28,554,173","Rp28,554,173","Rp86,428,039",5.16,232.56,19.4,0,0.0,0.0
Sean Crosby,"Rp371,084,849","Rp12,451,337","Rp12,451,337","Rp44,101,526",2.29,524.02,43.7,0,0.0,0.0
Carolyn Logan DVM,"Rp223,432,470","Rp25,620,709","Rp8,428,540","Rp142,318,309",9.39,7.77,0.6,30602074,0.9,0.1
Cheryl Thomas,"Rp188,017,694","Rp39,940,933","Rp36,259,907","Rp309,651,525",9.73,50.01,4.2,215642678,19.9,1.7
Amber Bruce,"Rp20,047,453","Rp46,922,119","Rp31,105,135","Rp75,781,141",10.08,4.61,0.4,65757415,2.0,0.2
Jordan Hicks,"Rp314,016,681","Rp10,395,350","Rp10,395,350","Rp23,861,720",4.74,253.16,21.1,0,0.0,0.0
Mark Benson,"Rp44,109,026","Rp41,142,766","Rp17,560,243","Rp17,545,745",1.21,0.74,0.1,0,0.0,0.0
Catherine Norman,"Rp454,743,942","Rp31,688,729","Rp31,688,729","Rp175,793,532",14.51,82.70,6.9,0,0.0,0.0
Joshua Murillo,"Rp160,255,355","Rp45,019,117","Rp28,417,902","Rp201,059,865",4.51,11.58,1.0,120932188,3.5,0.3
Thomas Lee,"Rp224,554,767","Rp26,945,578","Rp6,338,843","Rp144,071,770",10.46,6.59,0.5,31794387,0.8,0.1
William Ramirez,"Rp298,717,145","Rp27,062,169","Rp27,062,169","Rp69,528,007",10.89,110.19,9.2,0,0.0,0.0
Jackie Simpson,"Rp470,284,527","Rp37,809,996","Rp14,056,199","Rp120,166,587",9.54,4.86,0.4,0,0.0,0.0
Jeremy Nelson,"Rp247,085,688","Rp28,291,709","Rp6,117,923","Rp329,121,016",5.38,13.92,1.2,205578172,4.5,0.4
Samantha Long,"Rp81,450,611","Rp33,256,337","Rp33,256,337","Rp354,382,748",4.8,250.00,20.8,313657443,125.0,10.4
Sandra Cook,"Rp137,348,283","Rp11,930,264","Rp11,930,264","Rp310,362,343",9.37,128.07,10.7,241688202,64.0,5.3
Adam Johnson,"Rp56,510,960","Rp28,836,512","Rp28,836,512","Rp316,248,303",13.13,91.39,7.6,287992823,45.7,3.8
Dr. Margaret Wagner,"Rp409,873,327","Rp13,673,774","Rp13,673,774","Rp136,783,404",14.25,84.21,7.0,0,0.0,0.0
Michael Mcbride,"Rp398,348,157","Rp34,549,031","Rp31,446,493","Rp357,155,447",2.48,92.99,7.7,157981369,23.0,1.9
Ralph Ryan,"Rp105,415,947","Rp46,994,571","Rp41,833,034","Rp395,272,688",3.17,63.69,5.3,342564715,28.2,2.4
John Carlson,"Rp260,368,452","Rp39,346,859","Rp39,346,859","Rp76,178,892",14.23,84.33,7.0,0,0.0,0.0
Taylor Clarke,"Rp119,169,700","Rp14,309,411","Rp2,175,211","Rp163,945,980",11.31,11.98,1.0,104361130,4.0,0.3
Kimberly Gomez,"Rp42,797,855","Rp42,302,467","Rp42,302,467","Rp28,647,205",13.36,89.82,7.5,7248278,44.9,3.7
Cameron Walter,"Rp44,795,514","Rp40,944,452","Rp14,481,574","Rp37,916,781",3.84,1.43,0.1,15519024,0.3,0.0
Anthony Thomas,"Rp283,619,958","Rp5,681,719","Rp5,681,719","Rp217,587,376",9.23,130.01,10.8,75777397,65.0,5.4
Tracy Holden,"Rp392,380,040","Rp34,772,452","Rp27,431,622","Rp362,844,103",10.82,34.19,2.8,166654083,9.4,0.8
Tracy Huerta,"Rp134,001,512","Rp20,667,911","Rp20,667,911","Rp162,717,034",10.52,114.07,9.5,95716278,57.0,4.8
Cheryl Johnson,"Rp436,101,858","Rp49,137,470","Rp30,186,921","Rp154,928,800",6.71,7.82,0.7,0,0.0,0.0
Zachary White,"Rp333,659,410","Rp27,144,880","Rp27,144,880","Rp386,653,593",1.22,983.61,82.0,219823888,491.8,41.0
Robert Hoffman,"Rp443,601,327","Rp30,580,296","Rp13,392,083","Rp382,321,254",9.16,19.01,1.6,160520591,4.4,0.4
David Miller,"Rp425,156,431","Rp12,688,053","Rp12,688,053","Rp230,853,780",4.54,264.32,22.0,18275565,132.2,11.0
Joshua Kelly,"Rp104,962,818","Rp11,887,324","Rp11,887,324","Rp277,895,732",7.3,164.38,13.7,225414323,82.2,6.8
Dustin Thomas,"Rp466,659,347","Rp48,084,109","Rp15,952,821","Rp314,446,576",14.41,8.76,0.7,81116903,1.2,0.1
David Dudley,"Rp61,910,807","Rp18,863,509","Rp16,394,752","Rp59,407,485",6.59,21.25,1.8,28452082,5.4,0.5
Brandy Reynolds,"Rp136,736,437","Rp22,053,322","Rp22,053,322","Rp98,616,745",12.76,94.04,7.8,30248527,47.0,3.9
Anna Jones,"Rp138,314,487","Rp19,591,661","Rp14,581,422","Rp191,783,082",3.64,34.30,2.9,122625839,11.4,0.9
Tracy Bailey,"Rp64,847,136","Rp9,575,716","Rp9,575,716","Rp195,644,021",10.41,115.27,9.6,163220453,57.6,4.8
Christina Nelson,"Rp83,150,359","Rp5,002,324","Rp5,002,324","Rp248,755,389",14.68,81.74,6.8,207180210,40.9,3.4
David Holloway,"Rp443,484,403","Rp42,816,537","Rp30,728,437","Rp124,494,888",2.43,10.09,0.8,0,0.0,0.0
Daniel Griffin,"Rp371,378,378","Rp49,270,061","Rp41,541,461","Rp99,553,864",1.12,12.73,1.1,0,0.0,0.0
Allen Moore,"Rp270,425,328","Rp43,225,750","Rp42,071,048","Rp291,397,783",7.07,101.48,8.5,156185119,37.6,3.1
Richard Brown,"Rp167,319,111","Rp20,271,808","Rp20,271,808","Rp379,060,580",2.3,521.74,43.5,295401025,260.9,21.7
Mary Mccoy,"Rp161,786,915","Rp48,188,926","Rp27,687,822","Rp153,443,952",11.48,6.98,0.6,72550495,1.7,0.1
Joseph Knox,"Rp111,164,453","Rp16,799,990","Rp8,897,673","Rp297,945,424",13.8,26.30,2.2,242363198,11.3,0.9
Courtney Wagner,"Rp198,928,103","Rp40,132,658","Rp14,448,727","Rp140,718,676",7.08,5.31,0.4,41254625,0.8,0.1
Seth Carr,"Rp467,109,331","Rp38,981,972","Rp22,523,385","Rp25,885,050",4.62,1.56,0.1,0,0.0,0.0
Elizabeth Brown,"Rp356,546,429","Rp21,492,846","Rp8,002,296","Rp36,834,022",7.08,2.69,0.2,0,0.0,0.0
Sandra Porter,"Rp49,501,026","Rp36,872,840","Rp36,872,840","Rp326,175,734",11.13,107.82,9.0,301425221,53.9,4.5
Christopher Smith,"Rp445,816,957","Rp45,411,316","Rp20,552,983","Rp132,424,038",1.13,5.30,0.4,0,0.0,0.0
Sarah Roberts,"Rp289,746,008","Rp33,375,048","Rp33,375,048","Rp221,553,151",9.25,129.73,10.8,76680147,64.9,5.4
David Mitchell,"Rp175,363,810","Rp13,543,305","Rp13,543,305","Rp336,823,882",9.59,125.13,10.4,249141977,62.6,5.2
Kaitlyn Jackson,"Rp433,757,976","Rp28,677,235","Rp12,718,361","Rp197,644,589",9.93,11.23,0.9,0,0.0,0.0
Barbara Scott,"Rp31,739,356","Rp31,088,632","Rp26,245,082","Rp329,686,730",4.39,54.50,4.5,313817052,26.2,2.2
Ashley Carpenter,"Rp155,689,489","Rp22,894,388","Rp22,894,388","Rp32,870,540",11,109.09,9.1,0,0.0,0.0
Mario Pitts,"Rp163,794,431","Rp45,827,417","Rp41,432,241","Rp238,760,894",2.28,49.24,4.1,156863679,16.7,1.4
Paul Lawson,"Rp247,785,965","Rp26,081,896","Rp26,081,896","Rp111,221,101",3.79,316.62,26.4,0,0.0,0.0
Connie Simmons,"Rp219,310,033","Rp24,012,258","Rp10,002,619","Rp177,674,604",13.28,11.12,0.9,68019588,2.3,0.2
Jennifer Bonilla,"Rp485,082,433","Rp35,399,934","Rp9,667,857","Rp89,078,592",11.34,3.35,0.3,0,0.0,0.0
Michael Mendoza,"Rp297,312,693","Rp38,453,171","Rp6,428,690","Rp68,876,263",1.19,2.15,0.2,0,0.0,0.0
Krista Walker,"Rp325,354,274","Rp29,395,160","Rp29,395,160","Rp206,125,483",4.48,267.86,22.3,43448346,133.9,11.2
Sara Marsh,"Rp125,797,711","Rp20,794,649","Rp10,889,782","Rp159,709,323",4,15.30,1.3,96810468,4.7,0.4
Xavier Romero,"Rp436,358,440","Rp7,661,029","Rp7,661,029","Rp36,175,239",4.79,250.52,20.9,0,0.0,0.0
Alexander Campbell,"Rp228,722,275","Rp14,149,697","Rp5,696,176","Rp145,063,175",4.47,16.13,1.3,30702038,1.8,0.1
Kevin Colon,"Rp384,431,904","Rp16,757,649","Rp12,732,002","Rp202,323,708",1.88,46.59,3.9,10107756,1.3,0.1
Michele Bryant,"Rp87,633,091","Rp16,427,105","Rp16,427,105","Rp387,392,308",7.43,161.51,13.5,343575763,80.8,6.7
Gregory Vincent,"Rp492,106,144","Rp41,410,879","Rp16,697,697","Rp40,103,852",11.26,1.60,0.1,0,0.0,0.0
Gail Curry PhD,"Rp333,839,252","Rp28,146,282","Rp19,789,600","Rp218,064,124",9.49,21.63,1.8,51144498,2.9,0.2
Mark James,"Rp241,166,767","Rp9,857,658","Rp9,857,658","Rp260,003,887",10.42,115.16,9.6,139420504,57.6,4.8
